Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal Infection,dischromic_patches,nail_pitting,dysphagia,heart_palpitations,runny_nose,weakness,itching,skin_rash,fatigue,,,,,,,,
Fungal Infection,cold_intolerance,skin_rash,breathlessness,blisters,itching,visible_veins,scarring,joint_pain,dischromic_patches,,,,,,,,
Fungal Infection,jaundice,coughing_blood,vomiting,nausea,itching,swollen_lymph_nodes,nodal_eruptions,skin_rash,cloudy_urine,disorientation,,,,,,,
Fungal Infection,mood_swings,early_satiety,stiffness,numbness,nodal_eruptions,dysphagia,itching,skin_rash,joint_pain,breathlessness,dischromic_patches,bone_pain,,,,,
Fungal Infection,high_blood_pressure,dysphagia,skin_rash,nausea,dischromic_patches,seizures,polydipsia,early_satiety,vomiting_blood,iron_deficiency_anemia,changes_in_urination,itching,balance_loss,sweating,,,
Fungal Infection,dischromic_patches,constipation,black_stools,skin_rash,runny_nose,changes_in_urination,leg_pain,itching,nodal_eruptions,fever,photophobia,fatigue,blisters,,,,
Fungal Infection,dischromic_patches,urinary_difficulty,itching,arm_pain,blood_in_semen,bloating,fatigue,erectile_dysfunction,nodal_eruptions,blurred_vision,bone_pain,balance_loss,crusting,skin_rash,visible_veins,,
Fungal Infection,nasal_congestion,dizziness,dischromic_patches,skin_rash,wheezing,itching,constipation,reduced_mobility,nodal_eruptions,chronic_cough,seizures,vesicles,,,,,
Fungal Infection,dischromic_patches,nodal_eruptions,weight_loss,itching,fatigue,acid_reflux,cold_intolerance,,,,,,,,,,
Fungal Infection,heart_palpitations,scarring,night_sweats,dischromic_patches,swollen_lymph_nodes,dizziness,nodal_eruptions,neck_pain,changes_in_bowel_habits,black_stools,burning_urination,high_blood_pressure,skin_rash,scaling,dysphagia,nausea,itching
Fungal Infection,weakness,breast_lump,constipation,swollen_lymph_nodes,blood_in_semen,creaking_joints,nodal_eruptions,nausea,dischromic_patches,dizziness,weight_loss,chills,itching,diarrhea,bleeding,skin_dimpling,acid_reflux
Fungal Infection,stiffness,bloating,skin_rash,itching,frequent_respiratory_infections,nail_pitting,,,,,,,,,,,
Fungal Infection,swelling_in_legs,sweating,dischromic_patches,bloating,fever,frequent_respiratory_infections,heartburn,early_satiety,visible_veins,nodal_eruptions,erectile_dysfunction,skin_rash,itching,arm_pain,dysphagia,,
Fungal Infection,nasal_congestion,bloating_after_meals,polydipsia,swelling_in_legs,frequent_urination,skin_rash,itching,bone_pain,coughing_blood,weight_loss,,,,,,,
Fungal Infection,heart_palpitations,itching,wheezing,swollen_lymph_nodes,swelling_in_legs,sweating,dischromic_patches,changes_in_urination,chronic_cough,dark_urine,sneezing,abdominal_pain,vesicles,nipple_discharge,chest_tightness,,
Fungal Infection,skin_rash,coughing_blood,fatigue,leg_pain,dischromic_patches,blood_in_stool,scarring,itching,nasal_congestion,dysphagia,oiliness,,,,,,
Fungal Infection,skin_rash,visible_veins,bone_pain,changes_in_bowel_habits,polydipsia,sore_throat,itching,dischromic_patches,,,,,,,,,
Fungal Infection,nipple_inversion,nausea,blackheads,polydipsia,dischromic_patches,weakness,nodal_eruptions,skin_rash,itching,vomiting,yellow_skin,changes_in_bowel_habits,crusting,neck_pain,,,
Fungal Infection,dischromic_patches,dizziness,cloudy_urine,indigestion,phonophobia,hunger,itching,weight_gain,runny_nose,sweating,skin_rash,blurred_vision,vomiting,persistent_cough,,,
Fungal Infection,breathlessness,burning_urination,skin_rash,blood_in_semen,polydipsia,vomiting,dysphagia,hoarseness,vomiting_blood,hunger,stiffness,dischromic_patches,itching,nipple_inversion,numbness,nodal_eruptions,
Fungal Infection,nodal_eruptions,dischromic_patches,itching,nausea,,,,,,,,,,,,,
Fungal Infection,diarrhea,nodal_eruptions,hunger,vertigo,dischromic_patches,itching,blood_in_semen,reduced_mobility,cold_intolerance,skin_rash,,,,,,,
Fungal Infection,photophobia,persistent_cough,vomiting_blood,polyuria,anal_pain,dischromic_patches,visible_veins,itching,nodal_eruptions,skin_rash,swelling,vesicles,,,,,
Fungal Infection,dehydration,itching,nodal_eruptions,skin_rash,disorientation,jaundice,dizziness,crusting,abdominal_cramps,swollen_lymph_nodes,nail_pitting,tremors,hunger,swelling,,,
Fungal Infection,dischromic_patches,chronic_cough,phonophobia,itching,difficulty_speaking,swelling,weight_loss,yellow_skin,nodal_eruptions,hoarseness,skin_rash,,,,,,
Fungal Infection,skin_rash,creaking_joints,dischromic_patches,yellow_skin,arm_pain,joint_pain,itching,shortness_of_breath,,,,,,,,,
Fungal Infection,itching,nodal_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,
Fungal Infection,crusting,itching,pelvic_pain,scarring,nail_pitting,headache,mood_swings,nipple_inversion,breast_pain,changes_in_bowel_habits,skin_rash,wheezing,acid_reflux,dischromic_patches,creaking_joints,chest_pain,
Fungal Infection,abdominal_pain,skin_rash,blurred_vision,itching,dischromic_patches,nodal_eruptions,bloating_after_meals,hunger,,,,,,,,,
Fungal Infection,skin_dimpling,urinary_difficulty,dischromic_patches,tremors,nodal_eruptions,mood_swings,itching,skin_rash,,,,,,,,,
Fungal Infection,skin_rash,itching,dehydration,,,,,,,,,,,,,,
Fungal Infection,hoarseness,memory_loss,blisters,skin_rash,itchy_eyes,dehydration,pelvic_pain,shortness_of_breath,burning_urination,fatigue,itching,,,,,,
Fungal Infection,skin_rash,swelling,memory_loss,nodal_eruptions,dischromic_patches,itching,reduced_mobility,,,,,,,,,,
Fungal Infection,itching,iron_deficiency_anemia,nodal_eruptions,skin_rash,,,,,,,,,,,,,
Fungal Infection,tremors,joint_pain,dischromic_patches,itching,nodal_eruptions,skin_rash,,,,,,,,,,,
Fungal Infection,dizziness,heartburn,swollen_lymph_nodes,itchy_eyes,pelvic_pain,loss_of_appetite,bloating_after_meals,skin_rash,nodal_eruptions,bone_pain,confusion,sneezing,itching,fatigue,dischromic_patches,,
Fungal Infection,swollen_lymph_nodes,vomiting,scaling,itching,nodal_eruptions,disorientation,nail_pitting,dischromic_patches,jaundice,dark_urine,,,,,,,
Fungal Infection,itching,frequent_respiratory_infections,swelling_in_legs,swollen_lymph_nodes,dry_skin,scarring,chest_tightness,skin_rash,,,,,,,,,
Fungal Infection,itching,skin_rash,polydipsia,dischromic_patches,nodal_eruptions,,,,,,,,,,,,
Fungal Infection,swelling_in_legs,abdominal_pain,blood_in_stool,dischromic_patches,numbness,chest_tightness,itching,nodal_eruptions,weight_gain,muscle_pain,skin_rash,changes_in_bowel_habits,phonophobia,cramps,hoarseness,confusion,bone_pain
Fungal Infection,blisters,vertigo,tremors,nausea,bloating_after_meals,bloating,anal_pain,burning_urination,hunger,skin_rash,vomiting_blood,vomiting,itchy_eyes,,,,
Fungal Infection,nail_pitting,erectile_dysfunction,itching,nodal_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,
Fungal Infection,swelling_in_legs,skin_rash,scaling,nodal_eruptions,headache,hunger,hives,chest_tightness,cloudy_urine,persistent_cough,itching,burning_urination,abdominal_pain,bloating_after_meals,breast_pain,,
Fungal Infection,sore_throat,hoarseness,visible_veins,chest_tightness,pelvic_pain,skin_rash,headache,chills,itching,blood_in_semen,weight_gain,,,,,,
Fungal Infection,visible_veins,bloating_after_meals,itching,dischromic_patches,loss_of_appetite,skin_rash,,,,,,,,,,,
Fungal Infection,nausea,skin_rash,crusting,dischromic_patches,itching,nodal_eruptions,,,,,,,,,,,
Fungal Infection,skin_rash,dischromic_patches,nodal_eruptions,,,,,,,,,,,,,,
Fungal Infection,swelling,nodal_eruptions,skin_rash,persistent_cough,hunger,itching,dischromic_patches,sweating,erectile_dysfunction,,,,,,,,
Fungal Infection,itching,nodal_eruptions,dischromic_patches,chills,phonophobia,skin_rash,joint_pain,,,,,,,,,,
Fungal Infection,itching,visible_veins,skin_rash,pelvic_pain,dischromic_patches,scarring,abdominal_cramps,weight_loss,polydipsia,palpitations,runny_nose,indigestion,,,,,
Fungal Infection,itching,dry_skin,skin_rash,dischromic_patches,nodal_eruptions,,,,,,,,,,,,
Fungal Infection,frequent_respiratory_infections,skin_rash,itching,seizures,weight_loss,nodal_eruptions,cold_intolerance,sore_throat,dischromic_patches,polyuria,crusting,creaking_joints,changes_in_bowel_habits,,,,
Fungal Infection,itching,night_sweats,early_satiety,nodal_eruptions,cough,breathlessness,pimples,runny_nose,dischromic_patches,,,,,,,,
Fungal Infection,skin_rash,tremors,nipple_discharge,seizures,sore_throat,nodal_eruptions,chills,itching,stiffness,abdominal_pain,changes_in_urination,hives,numbness,dischromic_patches,,,
Fungal Infection,skin_rash,nodal_eruptions,cloudy_urine,chronic_cough,sweating,itching,cramps,,,,,,,,,,
Fungal Infection,dischromic_patches,runny_nose,cloudy_urine,constipation,abdominal_cramps,oiliness,swelling_in_legs,bloating_after_meals,skin_rash,itching,,,,,,,
Fungal Infection,itching,itchy_eyes,bleeding,indigestion,dischromic_patches,creaking_joints,changes_in_urination,chest_pain,skin_rash,iron_deficiency_anemia,scarring,yellow_skin,pimples,,,,
Fungal Infection,nodal_eruptions,dehydration,dischromic_patches,itching,pimples,palpitations,chronic_cough,swelling_in_legs,bloating_after_meals,bone_pain,neck_pain,changes_in_urination,cold_intolerance,skin_rash,fatigue,,
Fungal Infection,itching,heartburn,sneezing,heart_palpitations,bloating,muscle_pain,tremors,joint_pain,pimples,nodal_eruptions,dischromic_patches,blood_in_semen,,,,,
Fungal Infection,nodal_eruptions,dizziness,nausea,seizures,erectile_dysfunction,blisters,creaking_joints,dischromic_patches,burning_urination,skin_rash,itching,nipple_inversion,polydipsia,cough,sneezing,numbness,
Fungal Infection,seizures,fever,skin_rash,dischromic_patches,difficulty_speaking,sweating,vertigo,nodal_eruptions,itching,leg_pain,weight_gain,vomiting_blood,,,,,
Fungal Infection,skin_rash,pimples,nodal_eruptions,itching,jaundice,vertigo,disorientation,runny_nose,abdominal_cramps,crusting,palpitations,dischromic_patches,swelling_in_legs,heartburn,fatigue,acid_reflux,dark_urine
Fungal Infection,skin_rash,itching,nodal_eruptions,dischromic_patches,,,,,,,,,,,,,
Fungal Infection,fever,skin_rash,nodal_eruptions,itching,visual_aura,dark_urine,nail_pitting,phonophobia,high_blood_pressure,seizures,loss_of_appetite,coughing_blood,scaling,yellow_skin,,,
Fungal Infection,night_sweats,vomiting,high_blood_pressure,polyuria,nodal_eruptions,polydipsia,bloating_after_meals,vesicles,fever,dischromic_patches,skin_rash,oiliness,photophobia,itching,abdominal_pain,nasal_congestion,
Fungal Infection,hunger,heartburn,swelling_in_legs,chronic_cough,pimples,breast_lump,reduced_mobility,joint_pain,skin_rash,creaking_joints,shortness_of_breath,changes_in_urination,itching,,,,
Fungal Infection,dischromic_patches,changes_in_bowel_habits,visual_aura,high_blood_pressure,disorientation,sneezing,blurred_vision,itching,skin_rash,,,,,,,,
Fungal Infection,dischromic_patches,yellow_skin,nodal_eruptions,dehydration,itching,skin_rash,,,,,,,,,,,
Fungal Infection,nodal_eruptions,skin_rash,blood_in_stool,polyuria,itching,dizziness,dischromic_patches,dehydration,blackheads,headache,abdominal_pain,,,,,,
Fungal Infection,indigestion,dischromic_patches,difficulty_speaking,changes_in_urination,blackheads,constipation,phonophobia,runny_nose,skin_rash,iron_deficiency_anemia,crusting,cough,itching,persistent_cough,,,
Fungal Infection,itching,nodal_eruptions,skin_rash,,,,,,,,,,,,,,
Fungal Infection,skin_rash,pelvic_pain,dischromic_patches,shortness_of_breath,itching,weight_loss,hives,dizziness,,,,,,,,,
Fungal Infection,palpitations,shortness_of_breath,skin_rash,dischromic_patches,itching,,,,,,,,,,,,
Fungal Infection,weight_loss,skin_rash,bleeding,,,,,,,,,,,,,,
Fungal Infection,neck_pain,itching,skin_rash,nodal_eruptions,confusion,shortness_of_breath,fever,dischromic_patches,arm_pain,nasal_congestion,,,,,,,
Fungal Infection,skin_rash,diarrhea,nodal_eruptions,dischromic_patches,,,,,,,,,,,,,
Fungal Infection,headache,dischromic_patches,stiffness,persistent_cough,seizures,skin_rash,itching,disorientation,,,,,,,,,
Fungal Infection,jaundice,changes_in_bowel_habits,chronic_cough,dischromic_patches,itchy_eyes,neck_pain,bloating,abdominal_cramps,itching,high_blood_pressure,sweating,skin_rash,stiffness,,,,
Fungal Infection,skin_rash,itching,dischromic_patches,,,,,,,,,,,,,,
Fungal Infection,blood_in_stool,yellow_skin,crusting,fatigue,night_sweats,cramps,dark_urine,dischromic_patches,abdominal_cramps,skin_rash,itching,nodal_eruptions,,,,,
Fungal Infection,hoarseness,skin_rash,nodal_eruptions,phonophobia,dischromic_patches,itching,nipple_discharge,,,,,,,,,,
Fungal Infection,fever,dischromic_patches,breast_pain,frequent_respiratory_infections,leg_pain,itching,nodal_eruptions,bloating,persistent_cough,dysphagia,swelling,wheezing,oiliness,memory_loss,,,
Fungal Infection,burning_urination,itching,dischromic_patches,skin_rash,arm_pain,,,,,,,,,,,,
Fungal Infection,hoarseness,itching,skin_rash,blurred_vision,bloating,visible_veins,yellow_skin,vomiting_blood,,,,,,,,,
Fungal Infection,nodal_eruptions,shortness_of_breath,bleeding,coughing_blood,yellow_skin,dysphagia,memory_loss,confusion,hoarseness,numbness,burning_urination,fatigue,dischromic_patches,pimples,chest_tightness,skin_rash,
Fungal Infection,dischromic_patches,hives,bloating_after_meals,night_sweats,abdominal_pain,skin_rash,photophobia,tremors,weakness,itching,chest_pain,vertigo,,,,,
Fungal Infection,dark_urine,changes_in_urination,chest_pain,difficulty_speaking,heart_palpitations,sweating,breast_lump,frequent_urination,itching,confusion,nodal_eruptions,chronic_cough,creaking_joints,dischromic_patches,breast_pain,mood_swings,dysphagia
Fungal Infection,black_stools,dischromic_patches,nasal_congestion,seizures,palpitations,numbness,swelling_in_legs,skin_dimpling,abdominal_cramps,polyuria,high_blood_pressure,muscle_pain,scaling,abdominal_pain,dehydration,chest_tightness,nodal_eruptions
Fungal Infection,nodal_eruptions,nipple_discharge,balance_loss,skin_rash,tremors,burning_urination,dischromic_patches,,,,,,,,,,
Fungal Infection,bone_pain,visual_aura,frequent_respiratory_infections,skin_rash,polyuria,dizziness,chest_pain,constipation,diarrhea,itching,breathlessness,,,,,,
Fungal Infection,tremors,pimples,vertigo,nodal_eruptions,dysphagia,blackheads,frequent_urination,itching,night_sweats,nail_pitting,difficulty_speaking,,,,,,
Fungal Infection,skin_rash,blood_in_semen,itching,leg_pain,dischromic_patches,,,,,,,,,,,,
Fungal Infection,difficulty_speaking,itching,dischromic_patches,nail_pitting,nodal_eruptions,phonophobia,bone_pain,burning_urination,cold_intolerance,bleeding,,,,,,,
Fungal Infection,leg_pain,itchy_eyes,nodal_eruptions,disorientation,heartburn,itching,dysphagia,cramps,cough,,,,,,,,
Fungal Infection,cramps,wheezing,mood_swings,bloating_after_meals,bone_pain,fatigue,heart_palpitations,cold_intolerance,blood_in_stool,heartburn,itching,erectile_dysfunction,nodal_eruptions,breast_pain,dischromic_patches,visual_aura,scaling
Fungal Infection,crusting,creaking_joints,itching,dischromic_patches,urinary_difficulty,skin_rash,bleeding,joint_pain,,,,,,,,,
Fungal Infection,nasal_congestion,dischromic_patches,nodal_eruptions,weight_loss,hunger,dark_urine,high_blood_pressure,dehydration,loss_of_appetite,itching,skin_dimpling,yellow_skin,skin_rash,fever,sneezing,,
Fungal Infection,bone_pain,vomiting,dischromic_patches,weight_loss,erectile_dysfunction,nail_pitting,headache,blood_in_stool,neck_pain,nausea,jaundice,sweating,visible_veins,swollen_lymph_nodes,nodal_eruptions,cold_intolerance,arm_pain
Fungal Infection,breast_pain,nipple_discharge,skin_rash,early_satiety,burning_urination,polyuria,weakness,itching,hunger,leg_pain,,,,,,,
Fungal Infection,indigestion,skin_rash,dischromic_patches,urinary_difficulty,seizures,fatigue,bleeding,itching,blurred_vision,polydipsia,dehydration,iron_deficiency_anemia,arm_pain,,,,
Fungal Infection,iron_deficiency_anemia,heartburn,nipple_inversion,dischromic_patches,difficulty_speaking,hives,itching,persistent_cough,changes_in_bowel_habits,chest_tightness,anal_pain,black_stools,seizures,leg_pain,,,
Fungal Infection,nodal_eruptions,early_satiety,itchy_eyes,mood_swings,dischromic_patches,hives,itching,vomiting_blood,anal_pain,night_sweats,dry_skin,chest_pain,disorientation,bloating_after_meals,wheezing,seizures,
